"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"979322";"";"369202025";"1101932";"MUNICIPIO DE NOVA SANTA RITA - RS";"RS";"NOVA SANTA RITA";"REGOV/NH";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"977998";"";"365862025";"1101386";"MUNICIPIO DE PARACURU - CE";"CE";"PARACURU";"GIGOV/FO";"novo pac - creches e pré-escolas de educação infantil";"3365787.15";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979317";"";"368652025";"1101896";"MUNICIPIO DE PARAIBA DO SUL - RJ";"RJ";"PARAIBA DO SUL";"REGOV/VR";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979463";"";"367242025";"1101811";"MUNICIPIO DE BELEM - PA";"PA";"BELEM";"GIGOV/BE";"novo pac - creches e pré-escolas de educação infantil";"3566197.85";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979253";"";"367492025";"1101826";"MUNICIPIO DE SANTA IZABEL - PA";"PA";"SANTA ISABEL DO PARA";"GIGOV/BE";"novo pac - creches e pré-escolas de educação infantil";"3566197.85";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979408";"";"365302025";"1102043";"MUNICIPIO DE CARINHANHA - BA";"BA";"CARINHANHA";"GIGOV/VC";"novo pac - creches e pré-escolas de educação infantil";"3515665.9";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979251";"";"369022025";"1101920";"MUNICIPIO DE PORTO VELHO - RO";"RO";"PORTO VELHO";"GIGOV/PV";"novo pac - creches e pré-escolas de educação infantil";"3975325.88";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979208";"";"366732025";"1101782";"MUNICIPIO DE CANAPOLIS - MG";"MG";"CANAPOLIS";"GIGOV/UB";"novo pac - creches e pré-escolas de educação infantil";"3504118.19";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979336";"";"367782025";"1101847";"MUNICIPIO DE ESCADA - PE";"PE";"ESCADA";"GIGOV/CA";"novo pac - creches e pré-escolas de educação infantil";"3406872.2";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979154";"";"368792025";"1101907";"MUNICIPIO DE SILVA JARDIM - RJ";"RJ";"SILVA JARDIM";"GIGOV/NT";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979326";"";"369242025";"1101935";"MUNICIPIO DE PORTO ALEGRE - RS";"RS";"PORTO ALEGRE";"GIGOV/PO";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979327";"";"369252025";"1101936";"MUNICIPIO DE PORTO ALEGRE - RS";"RS";"PORTO ALEGRE";"GIGOV/PO";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979346";"";"368092025";"1101862";"MUNICIPIO DE LUZILANDIA - PI";"PI";"LUZILANDIA";"GIGOV/TE";"novo pac - creches e pré-escolas de educação infantil";"3378842.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979413";"";"365422025";"1102048";"MUNICIPIO DE ITAPARICA - BA";"BA";"ITAPARICA";"GIGOV/SA";"novo pac - creches e pré-escolas de educação infantil";"3515665.9";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979285";"";"368002025";"1101859";"MUNICIPIO DE SAO JOSE DO BELMONTE - PE";"PE";"SAO JOSE DO BELMONTE";"REGOV/LI";"novo pac - creches e pré-escolas de educação infantil";"3406872.2";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979265";"";"367612025";"1101836";"MUNICIPIO DE JOAO PESSOA - PB";"PB";"JOAO PESSOA";"GIGOV/JP";"novo pac - creches e pré-escolas de educação infantil";"3193331.14";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979266";"";"369082025";"1101923";"MUNICIPIO DE ALEGRETE - RS";"RS";"ALEGRETE";"GIGOV/SM";"novo pac - creches e pré-escolas de educação infantil";"3599938.53";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979313";"";"368582025";"1101892";"MUNICIPIO DE ITAGUAI - RJ";"RJ";"ITAGUAI";"GIGOV/RJ";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979319";"";"368682025";"1101899";"MUNICIPIO DE PINHEIRAL - RJ";"RJ";"PINHEIRAL";"REGOV/VR";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979403";"";"365282025";"1102042";"MUNICIPIO DE CAMACARI - BA";"BA";"CAMACARI";"GIGOV/SA";"novo pac - creches e pré-escolas de educação infantil";"3515665.9";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979417";"";"365482025";"1102052";"MUNICIPIO DE LIVRAMENTO DE NOSSA SENHORA - BA  EX L. BRUMADO";"BA";"LIVRAMENTO DE NOSSA SENHORA";"GIGOV/VC";"novo pac - creches e pré-escolas de educação infantil";"3515665.9";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979310";"";"368522025";"1101889";"MUNICIPIO DE BARRA MANSA - RJ";"RJ";"BARRA MANSA";"REGOV/VR";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"979150";"";"368732025";"1101903";"MUNICIPIO DE SAO FIDELIS - RJ";"RJ";"SAO FIDELIS";"REGOV/CM";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
