"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"situacao_da_analise_suspensiva_pbi";"Doc. não enviada p/ análise";"Suspensiva retirada"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"dte_retirada_suspensiva_tgov";"";"2026-05-19"
"alterado";"dados_e_derivados";"derivado_regra";"968212";"1-2012122";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"968212";"1-2012122";"fase_atual_calc";"SUSPENSIVA";"SUSPENSIVA RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"968212";"1-2012122";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"968214";"1-2013097";"dte_aio_tdb";"";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"968214";"1-2013097";"ultima_data_relevante_calc";"2026-05-15";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"968214";"1-2013097";"fase_atual_calc";"VRPL";"AIO"
"alterado";"dados_e_derivados";"derivado_regra";"968214";"1-2013097";"dias_vrpl_ate_aio_calc";"";"3"
"alterado";"dados_e_derivados";"derivado_tempo";"968214";"1-2013097";"prazo_inicio_obra_calc";"";"2026-06-01"
"alterado";"dados_e_derivados";"derivado_tempo";"968214";"1-2013097";"status_inicio_obra_calc";"";"Próximos 10 dias úteis"
"alterado";"dados_e_derivados";"dados_origem";"969600";"1-2014727";"dte_aio_tdb";"";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"969600";"1-2014727";"ultima_data_relevante_calc";"2026-05-13";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"969600";"1-2014727";"fase_atual_calc";"VRPL";"AIO"
"alterado";"dados_e_derivados";"derivado_regra";"969600";"1-2014727";"dias_vrpl_ate_aio_calc";"";"5"
"alterado";"dados_e_derivados";"derivado_tempo";"969600";"1-2014727";"prazo_inicio_obra_calc";"";"2026-06-01"
"alterado";"dados_e_derivados";"derivado_tempo";"969600";"1-2014727";"status_inicio_obra_calc";"";"Próximos 10 dias úteis"
"alterado";"dados_e_derivados";"dados_origem";"969603";"1-2014654";"dte_vrpl_tdb";"";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"969603";"1-2014654";"ultima_data_relevante_calc";"2026-03-30";"2026-05-18"
"alterado";"dados_e_derivados";"derivado_regra";"969603";"1-2014654";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"969603";"1-2014654";"dias_homologacao_ate_vrpl_calc";"";"49"
"alterado";"dados";"dados_origem";"973932";"1-2032974";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973932";"1-2032974";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973952";"1-2033275";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973952";"1-2033275";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973972";"1-2033299";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973972";"1-2033299";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973974";"1-2033055";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973974";"1-2033055";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"973981";"1-2032702";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"973981";"1-2032702";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"974015";"1-2033172";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"974015";"1-2033172";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"974019";"1-2032852";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"974019";"1-2032852";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"974020";"1-2032793";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"974020";"1-2032793";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"974027";"1-2033707";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"974027";"1-2033707";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"derivados_tempo";"derivado_tempo";"984888";"1-2141981";"status_pub_licitacao_calc";"No prazo";"Próximos 30 dias"
"alterado";"dados";"dados_origem";"984895";"1-2138821";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"984895";"1-2138821";"situacao_da_analise_suspensiva_dmp";"Análise iniciada";"Analisada com pendências"
"alterado";"derivados_tempo";"derivado_tempo";"985332";"1-2141801";"status_pub_licitacao_calc";"Próximos 30 dias";"Vencida"
"alterado";"dados_e_derivados";"dados_origem";"985339";"1-2135861";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-07-29"
"alterado";"dados_e_derivados";"derivado_tempo";"985339";"1-2135861";"urgencia_suspensiva_calc";"Próximos 30 dias";"31–90 dias"
"alterado";"dados_e_derivados";"dados_origem";"985355";"1-2138661";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-07-29"
"alterado";"dados_e_derivados";"derivado_tempo";"985355";"1-2138661";"urgencia_suspensiva_calc";"Próximos 30 dias";"31–90 dias"
"alterado";"dados";"dados_origem";"985380";"1-2138384";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"985380";"1-2138384";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"985486";"1-2138797";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"985486";"1-2138797";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"derivados_tempo";"derivado_tempo";"986129";"1-2140293";"status_pub_licitacao_calc";"Próximos 30 dias";"Vencida"
"alterado";"dados_e_derivados";"dados_origem";"986130";"1-2144311";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-07-29"
"alterado";"dados_e_derivados";"derivado_tempo";"986130";"1-2144311";"urgencia_suspensiva_calc";"Próximos 30 dias";"31–90 dias"
"alterado";"dados";"dados_origem";"986332";"1-2134446";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"986332";"1-2134446";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados_e_derivados";"dados_origem";"986349";"1-2141445";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada e aceita"
"alterado";"dados_e_derivados";"dados_origem";"986349";"1-2141445";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-07-29"
"alterado";"dados_e_derivados";"derivado_tempo";"986349";"1-2141445";"urgencia_suspensiva_calc";"Próximos 30 dias";"31–90 dias"
"alterado";"dados_e_derivados";"dados_origem";"986349";"1-2141445";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Analisada e aceita"
"alterado";"dados";"dados_origem";"986660";"1-2134350";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Análise iniciada"
"alterado";"dados";"dados_origem";"986660";"1-2134350";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"986697";"1-2142687";"vencimento_da_suspensiva_pbi";"2026-08-31";"2026-05-31"
"alterado";"dados_e_derivados";"derivado_tempo";"986697";"1-2142687";"urgencia_suspensiva_calc";"Mais de 90 dias";"Próximos 30 dias"
"alterado";"dados";"dados_origem";"986722";"1-2141460";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"986722";"1-2141460";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"986724";"1-2134441";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"986724";"1-2134441";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados_e_derivados";"dados_origem";"986738";"1-2137750";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-07-29"
"alterado";"dados_e_derivados";"derivado_tempo";"986738";"1-2137750";"urgencia_suspensiva_calc";"Próximos 30 dias";"31–90 dias"
"alterado";"dados";"dados_origem";"991662";"1-2164455";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"991662";"1-2164455";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"991669";"1-2164221";"vencimento_da_suspensiva_pbi";"2026-05-31";"2026-08-27"
"alterado";"dados_e_derivados";"derivado_tempo";"991669";"1-2164221";"urgencia_suspensiva_calc";"Próximos 30 dias";"Mais de 90 dias"
"alterado";"dados";"dados_origem";"991688";"1-2164433";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"991688";"1-2164433";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"991702";"1-2164063";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise não iniciada"
"alterado";"dados";"dados_origem";"991702";"1-2164063";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise não iniciada"
