"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"965402";"1-1987989";"dte_publicacao_licitacao_tgov";"";"2026-03-30"
"alterado";"dados_e_derivados";"dados_origem";"965402";"1-1987989";"dte_homologacao_licitacao_tgov";"";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"ultima_data_relevante_calc";"2025-12-09";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"dias_ate_publicacao_calc";"";"111"
"alterado";"dados_e_derivados";"derivado_regra";"965402";"1-1987989";"dias_publicacao_ate_homologacao_calc";"";"74"
"alterado";"dados_e_derivados";"dados_origem";"968509";"1-2015031";"dte_publicacao_licitacao_tgov";"";"2026-03-04"
"alterado";"dados_e_derivados";"dados_origem";"968509";"1-2015031";"dte_homologacao_licitacao_tgov";"";"2026-05-28"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"ultima_data_relevante_calc";"2025-10-07";"2026-05-28"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"dias_ate_publicacao_calc";"";"148"
"alterado";"dados_e_derivados";"derivado_regra";"968509";"1-2015031";"dias_publicacao_ate_homologacao_calc";"";"85"
"alterado";"dados_e_derivados";"dados_origem";"968756";"1-2016840";"dte_publicacao_licitacao_tgov";"";"2026-06-24"
"alterado";"dados_e_derivados";"dados_origem";"968756";"1-2016840";"dte_homologacao_licitacao_tgov";"";"2026-07-01"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"ultima_data_relevante_calc";"2026-04-28";"2026-07-01"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"dias_ate_publicacao_calc";"";"57"
"alterado";"dados_e_derivados";"derivado_regra";"968756";"1-2016840";"dias_publicacao_ate_homologacao_calc";"";"7"
"alterado";"derivados_tempo";"derivado_tempo";"972140";"1-2012918";"status_pub_licitacao_calc";"No prazo";"Próximos 30 dias"
"alterado";"dados_e_derivados";"dados_origem";"973986";"1-2033524";"dte_homologacao_licitacao_tgov";"2026-09-30";"2026-06-16"
"alterado";"dados_e_derivados";"derivado_regra";"973986";"1-2033524";"ultima_data_relevante_calc";"2026-09-30";"2026-06-16"
"alterado";"dados_e_derivados";"derivado_regra";"973986";"1-2033524";"dias_publicacao_ate_homologacao_calc";"212";"106"
"alterado";"dados";"dados_origem";"983609";"1-2137470";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"983610";"1-2140963";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"984850";"1-2137433";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"984865";"1-2138198";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados_e_derivados";"dados_origem";"984890";"1-2138719";"dte_retirada_suspensiva_tgov";"";"2026-06-24"
"alterado";"dados_e_derivados";"derivado_regra";"984890";"1-2138719";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"984890";"1-2138719";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados";"dados_origem";"985348";"1-2135354";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"985351";"1-2138267";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"985356";"1-2135780";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"985484";"1-2134436";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"985486";"1-2138797";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"986120";"1-2139872";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"derivados_tempo";"derivado_tempo";"986332";"1-2134446";"status_pub_licitacao_calc";"No prazo";"Próximos 30 dias"
"alterado";"dados";"dados_origem";"986693";"1-2142034";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"992126";"1-2164024";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados_e_derivados";"dados_origem";"992804";"1-2168402";"dte_publicacao_licitacao_tgov";"";"2026-05-25"
"alterado";"dados_e_derivados";"dados_origem";"992804";"1-2168402";"dte_homologacao_licitacao_tgov";"";"2026-06-24"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"ultima_data_relevante_calc";"2026-04-16";"2026-06-24"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"dias_ate_publicacao_calc";"";"39"
"alterado";"dados_e_derivados";"derivado_regra";"992804";"1-2168402";"dias_publicacao_ate_homologacao_calc";"";"30"
"alterado";"dados_e_derivados";"derivado_tempo";"992804";"1-2168402";"prazo_homolog_licitacao_120d";"";"2026-09-22"
"alterado";"dados_e_derivados";"derivado_tempo";"992804";"1-2168402";"prazo_homolog_licitacao_calc";"2026-07-17";"2026-09-22"
"alterado";"dados_e_derivados";"derivado_tempo";"992804";"1-2168402";"status_pub_licitacao_calc";"Vencida";"Concluída no prazo"
"alterado";"dados_e_derivados";"derivado_tempo";"992804";"1-2168402";"status_homolog_licitacao_calc";"";"Concluída no prazo"
