"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964945";"1-1991950";"dte_aio_tdb";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964945";"1-1991950";"ultima_data_relevante_calc";"2026-05-14";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964945";"1-1991950";"fase_atual_calc";"VRPL";"AIO"
"alterado";"dados_e_derivados";"derivado_regra";"964945";"1-1991950";"dias_vrpl_ate_aio_calc";"";"39"
"alterado";"dados_e_derivados";"derivado_tempo";"964945";"1-1991950";"prazo_inicio_obra_calc";"";"2026-07-06"
"alterado";"dados_e_derivados";"derivado_tempo";"964945";"1-1991950";"status_inicio_obra_calc";"";"Próximos 10 dias úteis"
"alterado";"dados_e_derivados";"dados_origem";"964969";"1-1983109";"dte_aio_tdb";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964969";"1-1983109";"ultima_data_relevante_calc";"2026-05-14";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964969";"1-1983109";"fase_atual_calc";"VRPL";"AIO"
"alterado";"dados_e_derivados";"derivado_regra";"964969";"1-1983109";"dias_vrpl_ate_aio_calc";"";"39"
"alterado";"dados_e_derivados";"derivado_tempo";"964969";"1-1983109";"prazo_inicio_obra_calc";"";"2026-07-06"
"alterado";"dados_e_derivados";"derivado_tempo";"964969";"1-1983109";"status_inicio_obra_calc";"";"Próximos 10 dias úteis"
"alterado";"dados_e_derivados";"dados_origem";"964982";"1-1984491";"dte_vrpl_tdb";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964982";"1-1984491";"ultima_data_relevante_calc";"2025-12-13";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964982";"1-1984491";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964982";"1-1984491";"dias_homologacao_ate_vrpl_calc";"";"483"
"alterado";"dados_e_derivados";"dados_origem";"967175";"1-1991888";"dte_aio_tdb";"";"2026-06-22"
