"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964480";"1-1989406";"dte_publicacao_licitacao_tgov";"2026-01-14";""
"alterado";"dados_e_derivados";"dados_origem";"964480";"1-1989406";"dte_homologacao_licitacao_tgov";"2026-02-24";""
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"flag_publicacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"flag_homologacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"ultima_data_relevante_calc";"2026-02-24";"2025-09-12"
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"fase_atual_calc";"HOMOLOGACAO";"LAE"
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"dias_ate_publicacao_calc";"124";""
"alterado";"dados_e_derivados";"derivado_regra";"964480";"1-1989406";"dias_publicacao_ate_homologacao_calc";"41";""
"alterado";"dados_e_derivados";"dados_origem";"964724";"1-1991293";"dte_homologacao_licitacao_tgov";"2026-06-09";"2026-08-03"
"alterado";"dados_e_derivados";"derivado_regra";"964724";"1-1991293";"ultima_data_relevante_calc";"2026-06-09";"2026-08-03"
"alterado";"dados_e_derivados";"derivado_regra";"964724";"1-1991293";"dias_publicacao_ate_homologacao_calc";"126";"181"
"alterado";"dados_e_derivados";"dados_origem";"964949";"1-1982827";"dte_publicacao_licitacao_tgov";"2026-01-29";"2026-01-28"
"alterado";"dados_e_derivados";"dados_origem";"964949";"1-1982827";"dte_homologacao_licitacao_tgov";"2026-06-02";"2026-05-28"
"alterado";"dados_e_derivados";"derivado_regra";"964949";"1-1982827";"ultima_data_relevante_calc";"2026-06-02";"2026-05-28"
"alterado";"dados_e_derivados";"derivado_regra";"964949";"1-1982827";"dias_ate_publicacao_calc";"64";"63"
"alterado";"dados_e_derivados";"derivado_regra";"964949";"1-1982827";"dias_publicacao_ate_homologacao_calc";"124";"120"
"alterado";"dados_e_derivados";"dados_origem";"967005";"1-1992044";"dte_publicacao_licitacao_tgov";"";"2026-01-21"
"alterado";"dados_e_derivados";"dados_origem";"967005";"1-1992044";"dte_homologacao_licitacao_tgov";"";"2026-06-08"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"ultima_data_relevante_calc";"2025-04-14";"2026-06-08"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"dias_ate_publicacao_calc";"";"282"
"alterado";"dados_e_derivados";"derivado_regra";"967005";"1-1992044";"dias_publicacao_ate_homologacao_calc";"";"138"
"alterado";"dados";"dados_origem";"967598";"1-1995299";"situacao_da_analise_suspensiva_pbi";"Suspensiva retirada";"Analisada e aceita"
"alterado";"dados";"dados_origem";"967598";"1-1995299";"motivo_suspensiva_retirada_dmp";"situacao_da_analise_suspensiva_pbi";""
"alterado";"dados_e_derivados";"dados_origem";"968197";"1-2013334";"dte_publicacao_licitacao_tgov";"";"2026-05-18"
"alterado";"dados_e_derivados";"dados_origem";"968197";"1-2013334";"dte_homologacao_licitacao_tgov";"";"2026-06-09"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"ultima_data_relevante_calc";"2026-04-06";"2026-06-09"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"dias_ate_publicacao_calc";"";"42"
"alterado";"dados_e_derivados";"derivado_regra";"968197";"1-2013334";"dias_publicacao_ate_homologacao_calc";"";"22"
"alterado";"dados_e_derivados";"dados_origem";"968198";"1-2012865";"dte_publicacao_licitacao_tgov";"";"2026-06-09"
"alterado";"dados_e_derivados";"dados_origem";"968198";"1-2012865";"dte_homologacao_licitacao_tgov";"";"2026-06-26"
