"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"dsc_situacao_contrato_mcid_tci";"Contratado - Em Prestação de Contas";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"situacao_da_analise_suspensiva_dmp";"Não se aplica";"Suspensiva retirada"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"situacao_contrato_dmp";"Contratado - Em Prestação de Contas";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"motivo_suspensiva_retirada_dmp";"Não se aplica";"situacao_da_analise_suspensiva_pbi"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"dsc_situacao_contrato_mcid_tci";"Contratado - Em Prestação de Contas";"Contratado - Concluído"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"situacao_da_analise_suspensiva_pbi";"Suspensiva retirada";"Doc. não enviada p/ análise"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"situacao_da_analise_suspensiva_dmp";"Não se aplica";"Doc. não enviada p/ análise"
"alterado";"dados_e_derivados";"derivado_regra";"968212";"1-2012122";"situacao_contrato_dmp";"Contratado - Em Prestação de Contas";"Contratado - Concluído"
"alterado";"dados_e_derivados";"dados_origem";"968212";"1-2012122";"motivo_suspensiva_retirada_dmp";"Não se aplica";""
"alterado";"dados_e_derivados";"dados_origem";"968253";"1-2014564";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"derivado_tempo";"968253";"1-2014564";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"968253";"1-2014564";"situacao_da_analise_suspensiva_dmp";"Analisada e rejeitada";"Não se aplica"
"alterado";"dados_e_derivados";"derivado_regra";"968253";"1-2014564";"situacao_contrato_dmp";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"dados_origem";"968253";"1-2014564";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
"alterado";"dados_e_derivados";"dados_origem";"968263";"1-2016086";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"derivado_tempo";"968263";"1-2016086";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"968263";"1-2016086";"situacao_da_analise_suspensiva_dmp";"Analisada e rejeitada";"Não se aplica"
"alterado";"dados_e_derivados";"derivado_regra";"968263";"1-2016086";"situacao_contrato_dmp";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"dados_origem";"968263";"1-2016086";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
