"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"entrou";"novo_registro";"novo_registro";"999726";"1-2203355";"vlr_repasse_saci";"";"451136.0"
"entrou";"novo_registro";"novo_registro";"999728";"1-2198171";"vlr_repasse_saci";"";"3442679.0"
"entrou";"novo_registro";"novo_registro";"999853";"1-2199876";"vlr_repasse_saci";"";"789867.0"
"entrou";"novo_registro";"novo_registro";"999855";"1-2160678";"vlr_repasse_saci";"";"8605170.0"
"entrou";"novo_registro";"novo_registro";"999856";"1-2201990";"vlr_repasse_saci";"";"2331450.0"
"entrou";"novo_registro";"novo_registro";"999857";"1-2163570";"vlr_repasse_saci";"";"9403515.0"
"entrou";"novo_registro";"novo_registro";"999858";"1-2164143";"vlr_repasse_saci";"";"764433.0"
"entrou";"novo_registro";"novo_registro";"999859";"1-2164812";"vlr_repasse_saci";"";"7772913.0"
"entrou";"novo_registro";"novo_registro";"999860";"1-2163903";"vlr_repasse_saci";"";"2431773.0"
"entrou";"novo_registro";"novo_registro";"999862";"1-2158447";"vlr_repasse_saci";"";"9934803.0"
"entrou";"novo_registro";"novo_registro";"999863";"1-2154083";"vlr_repasse_saci";"";"2431773.0"
"entrou";"novo_registro";"novo_registro";"999869";"1-2199818";"vlr_repasse_saci";"";"915624.0"
"entrou";"novo_registro";"novo_registro";"999870";"1-2200693";"vlr_repasse_saci";"";"1413000.0"
"entrou";"novo_registro";"novo_registro";"999871";"1-2204277";"vlr_repasse_saci";"";"784215.0"
"entrou";"novo_registro";"novo_registro";"999872";"1-2199478";"vlr_repasse_saci";"";"1271700.0"
"entrou";"novo_registro";"novo_registro";"999873";"1-2199078";"vlr_repasse_saci";"";"5123538.0"
"entrou";"novo_registro";"novo_registro";"999874";"1-2203839";"vlr_repasse_saci";"";"423900.0"
"entrou";"novo_registro";"novo_registro";"999875";"1-2200387";"vlr_repasse_saci";"";"989100.0"
"entrou";"novo_registro";"novo_registro";"999876";"1-2201359";"vlr_repasse_saci";"";"8188335.0"
"entrou";"novo_registro";"novo_registro";"999877";"1-2199115";"vlr_repasse_saci";"";"3532500.0"
"entrou";"novo_registro";"novo_registro";"999878";"1-2198545";"vlr_repasse_saci";"";"565200.0"
"entrou";"novo_registro";"novo_registro";"999879";"1-2197619";"vlr_repasse_saci";"";"5219622.0"
"entrou";"novo_registro";"novo_registro";"999882";"1-2197917";"vlr_repasse_saci";"";"604764.0"
"entrou";"novo_registro";"novo_registro";"999883";"1-2197990";"vlr_repasse_saci";"";"536940.0"
"entrou";"novo_registro";"novo_registro";"999884";"1-2197986";"vlr_repasse_saci";"";"438030.0"
"entrou";"novo_registro";"novo_registro";"999885";"1-2199896";"vlr_repasse_saci";"";"692370.0"
"entrou";"novo_registro";"novo_registro";"999886";"1-2201721";"vlr_repasse_saci";"";"3409569.0"
"entrou";"novo_registro";"novo_registro";"999887";"1-2198176";"vlr_repasse_saci";"";"3562173.0"
"entrou";"novo_registro";"novo_registro";"999888";"1-2201599";"vlr_repasse_saci";"";"2214171.0"
"entrou";"novo_registro";"novo_registro";"999889";"1-2198371";"vlr_repasse_saci";"";"438030.0"
"alterado";"dados_e_derivados";"dados_origem";"964502";"1-1985038";"dte_publicacao_licitacao_tgov";"";"2026-02-03"
"alterado";"dados_e_derivados";"dados_origem";"964502";"1-1985038";"dte_homologacao_licitacao_tgov";"";"2026-03-20"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"ultima_data_relevante_calc";"2025-11-28";"2026-03-20"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"dias_ate_publicacao_calc";"";"67"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"dias_publicacao_ate_homologacao_calc";"";"45"
"alterado";"dados_e_derivados";"dados_origem";"964522";"1-1990325";"dte_aio_tdb";"2026-06-10";""
"alterado";"dados_e_derivados";"dados_origem";"964522";"1-1990325";"dte_inicio_obra_mcid_saci";"";"2026-06-10"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"dias_vrpl_ate_aio_calc";"0";""
"alterado";"dados_e_derivados";"derivado_tempo";"964522";"1-1990325";"prazo_inicio_obra_calc";"2026-06-24";""
"alterado";"dados_e_derivados";"derivado_tempo";"964522";"1-1990325";"status_inicio_obra_calc";"Próximos 10 dias úteis";""
"alterado";"dados_e_derivados";"dados_origem";"964724";"1-1991293";"dte_publicacao_licitacao_tgov";"2026-02-03";"2026-06-08"
"alterado";"dados_e_derivados";"derivado_regra";"964724";"1-1991293";"dias_ate_publicacao_calc";"201";"326"
"alterado";"dados_e_derivados";"derivado_regra";"964724";"1-1991293";"dias_publicacao_ate_homologacao_calc";"181";"56"
"alterado";"dados_e_derivados";"dados_origem";"964829";"1-1991397";"dte_aio_tdb";"";"2026-06-12"
"alterado";"dados_e_derivados";"dados_origem";"964829";"1-1991397";"dte_inicio_obra_mcid_saci";"";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"964829";"1-1991397";"ultima_data_relevante_calc";"2026-03-31";"2026-06-12"
"alterado";"dados_e_derivados";"derivado_regra";"964829";"1-1991397";"fase_atual_calc";"VRPL";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964829";"1-1991397";"dias_vrpl_ate_aio_calc";"";"73"
"alterado";"dados_e_derivados";"derivado_regra";"964829";"1-1991397";"dias_aio_ate_inicio_obra_calc";"";"0"
