"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964472";"1-1990220";"dte_vrpl_tdb";"";"2026-01-08"
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"dias_homologacao_ate_vrpl_calc";"";"56"
"alterado";"dados_e_derivados";"dados_origem";"964483";"1-1982978";"dte_homologacao_licitacao_tgov";"2026-05-26";"2026-05-20"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"ultima_data_relevante_calc";"2026-05-26";"2026-05-20"
"alterado";"dados_e_derivados";"derivado_regra";"964483";"1-1982978";"dias_publicacao_ate_homologacao_calc";"78";"72"
"alterado";"dados_e_derivados";"dados_origem";"964522";"1-1990325";"dte_vrpl_tdb";"";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"ultima_data_relevante_calc";"2026-04-07";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"dias_homologacao_ate_vrpl_calc";"";"3"
"alterado";"dados_e_derivados";"dados_origem";"964722";"1-1984323";"dte_inicio_obra_mcid_tci";"2026-03-03";"2026-02-25"
"alterado";"dados_e_derivados";"derivado_regra";"964722";"1-1984323";"dias_aio_ate_inicio_obra_calc";"-22";"-28"
"alterado";"dados_e_derivados";"dados_origem";"964749";"1-1989952";"dte_inicio_obra_mcid_tci";"2026-05-08";"2026-02-10"
"alterado";"dados_e_derivados";"derivado_regra";"964749";"1-1989952";"dias_aio_ate_inicio_obra_calc";"0";"-87"
"alterado";"dados_e_derivados";"dados_origem";"964934";"1-1990243";"dte_publicacao_licitacao_tgov";"";"2025-10-30"
"alterado";"dados_e_derivados";"dados_origem";"964934";"1-1990243";"dte_homologacao_licitacao_tgov";"";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"ultima_data_relevante_calc";"2024-08-16";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"dias_ate_publicacao_calc";"";"440"
"alterado";"dados_e_derivados";"derivado_regra";"964934";"1-1990243";"dias_publicacao_ate_homologacao_calc";"";"162"
"alterado";"dados_e_derivados";"dados_origem";"964944";"1-1991882";"dte_vrpl_tdb";"";"2026-03-18"
"alterado";"dados_e_derivados";"derivado_regra";"964944";"1-1991882";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964944";"1-1991882";"dias_homologacao_ate_vrpl_calc";"";"58"
"alterado";"dados_e_derivados";"dados_origem";"964960";"1-1988926";"dte_homologacao_licitacao_tgov";"";"2026-05-20"
"alterado";"dados_e_derivados";"derivado_regra";"964960";"1-1988926";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964960";"1-1988926";"ultima_data_relevante_calc";"2026-03-09";"2026-05-20"
"alterado";"dados_e_derivados";"derivado_regra";"964960";"1-1988926";"fase_atual_calc";"PUBLICACAO LICITACAO";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964960";"1-1988926";"dias_publicacao_ate_homologacao_calc";"";"72"
"alterado";"dados_e_derivados";"dados_origem";"964976";"1-1984954";"dte_vrpl_tdb";"";"2025-12-29"
"alterado";"dados_e_derivados";"derivado_regra";"964976";"1-1984954";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964976";"1-1984954";"dias_homologacao_ate_vrpl_calc";"";"389"
"alterado";"dados_e_derivados";"dados_origem";"965237";"1-1991850";"dte_publicacao_licitacao_tgov";"";"2026-02-11"
"alterado";"dados_e_derivados";"dados_origem";"965237";"1-1991850";"dte_homologacao_licitacao_tgov";"";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"965237";"1-1991850";"flag_publicacao_licitacao_calc";"NAO";"SIM"
