"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964749";"1-1989952";"dte_aio_tdb";"";"2026-05-08"
"alterado";"dados_e_derivados";"dados_origem";"964749";"1-1989952";"dte_inicio_obra_mcid_tci";"";"2026-05-08"
"alterado";"dados_e_derivados";"derivado_regra";"964749";"1-1989952";"ultima_data_relevante_calc";"2026-04-02";"2026-05-08"
"alterado";"dados_e_derivados";"derivado_regra";"964749";"1-1989952";"fase_atual_calc";"VRPL";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964749";"1-1989952";"dias_vrpl_ate_aio_calc";"";"36"
"alterado";"dados_e_derivados";"derivado_regra";"964749";"1-1989952";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964749";"1-1989952";"prazo_inicio_obra_calc";"";"2026-05-22"
"alterado";"dados_e_derivados";"derivado_tempo";"964749";"1-1989952";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"964752";"1-1991786";"dte_inicio_obra_mcid_tci";"2026-03-02";"2026-03-23"
"alterado";"dados_e_derivados";"derivado_regra";"964752";"1-1991786";"ultima_data_relevante_calc";"2026-03-02";"2026-03-23"
"alterado";"dados_e_derivados";"derivado_regra";"964752";"1-1991786";"dias_aio_ate_inicio_obra_calc";"0";"21"
"alterado";"dados_e_derivados";"derivado_tempo";"964752";"1-1991786";"status_inicio_obra_calc";"Iniciada no prazo";"Iniciada em atraso"
"alterado";"dados_e_derivados";"dados_origem";"964833";"1-1986911";"dte_aio_tdb";"2025-11-12";""
"alterado";"dados_e_derivados";"derivado_regra";"964833";"1-1986911";"dias_vrpl_ate_aio_calc";"12";""
"alterado";"dados_e_derivados";"derivado_regra";"964833";"1-1986911";"dias_aio_ate_inicio_obra_calc";"0";""
"alterado";"dados_e_derivados";"derivado_tempo";"964833";"1-1986911";"prazo_inicio_obra_calc";"2025-11-26";""
"alterado";"dados_e_derivados";"derivado_tempo";"964833";"1-1986911";"status_inicio_obra_calc";"Iniciada no prazo";""
"alterado";"dados_e_derivados";"dados_origem";"964959";"1-1988902";"dte_publicacao_licitacao_tgov";"";"2026-02-06"
"alterado";"dados_e_derivados";"dados_origem";"964959";"1-1988902";"dte_homologacao_licitacao_tgov";"";"2026-03-30"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"ultima_data_relevante_calc";"2025-12-23";"2026-03-30"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"dias_ate_publicacao_calc";"";"45"
"alterado";"dados_e_derivados";"derivado_regra";"964959";"1-1988902";"dias_publicacao_ate_homologacao_calc";"";"52"
"alterado";"dados_e_derivados";"dados_origem";"964974";"1-1990631";"dte_publicacao_licitacao_tgov";"";"2026-05-08"
"alterado";"dados_e_derivados";"dados_origem";"964974";"1-1990631";"dte_homologacao_licitacao_tgov";"";"2026-05-08"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"ultima_data_relevante_calc";"2026-03-04";"2026-05-08"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"fase_atual_calc";"LAE";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"dias_ate_publicacao_calc";"";"65"
"alterado";"dados_e_derivados";"derivado_regra";"964974";"1-1990631";"dias_publicacao_ate_homologacao_calc";"";"0"
"alterado";"dados_e_derivados";"dados_origem";"964979";"1-1984478";"dte_aio_tdb";"";"2026-05-08"
"alterado";"dados_e_derivados";"dados_origem";"964979";"1-1984478";"dte_inicio_obra_mcid_tci";"";"2026-05-08"
"alterado";"dados_e_derivados";"derivado_regra";"964979";"1-1984478";"ultima_data_relevante_calc";"2026-03-26";"2026-05-08"
