"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"entrou";"novo_registro";"novo_registro";"7AABKY";"1-2162534";"vlr_repasse_saci";"";"12954384.0"
"alterado";"dados_e_derivados";"dados_origem";"964465";"1-1982724";"dte_inicio_obra_mcid_saci";"2026-05-12";"2026-05-15"
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"ultima_data_relevante_calc";"2026-05-12";"2026-05-15"
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"dias_aio_ate_inicio_obra_calc";"0";"3"
"alterado";"dados_e_derivados";"dados_origem";"964945";"1-1991950";"dte_inicio_obra_mcid_saci";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964945";"1-1991950";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964945";"1-1991950";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964945";"1-1991950";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"964969";"1-1983109";"dte_inicio_obra_mcid_saci";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"964969";"1-1983109";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964969";"1-1983109";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964969";"1-1983109";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"965236";"1-1990461";"dte_inicio_obra_mcid_saci";"2025-10-06";"2025-09-24"
"alterado";"dados_e_derivados";"derivado_regra";"965236";"1-1990461";"ultima_data_relevante_calc";"2025-10-06";"2025-09-24"
"alterado";"dados_e_derivados";"derivado_regra";"965236";"1-1990461";"dias_aio_ate_inicio_obra_calc";"12";"0"
"alterado";"dados_e_derivados";"dados_origem";"967175";"1-1991888";"dte_inicio_obra_mcid_saci";"2026-06-01";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"967175";"1-1991888";"dias_aio_ate_inicio_obra_calc";"-21";"0"
"alterado";"dados_e_derivados";"dados_origem";"967595";"1-1992020";"dte_inicio_obra_mcid_saci";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"967595";"1-1992020";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"967595";"1-1992020";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"967595";"1-1992020";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"968630";"1-2012708";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"derivado_tempo";"968630";"1-2012708";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"968630";"1-2012708";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
"alterado";"dados_e_derivados";"dados_origem";"968658";"1-2014647";"dte_inicio_obra_mcid_saci";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"968658";"1-2014647";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"968658";"1-2014647";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"968658";"1-2014647";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"968986";"1-2016707";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"derivado_tempo";"968986";"1-2016707";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"968986";"1-2016707";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
"alterado";"dados_e_derivados";"dados_origem";"969053";"1-2011194";"dte_inicio_obra_mcid_saci";"2026-05-21";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"969053";"1-2011194";"dias_aio_ate_inicio_obra_calc";"-32";"0"
"alterado";"dados_e_derivados";"dados_origem";"969121";"1-2016798";"dte_inicio_obra_mcid_saci";"2026-05-28";"2026-03-10"
"alterado";"dados_e_derivados";"derivado_regra";"969121";"1-2016798";"dias_aio_ate_inicio_obra_calc";"0";"-79"
"alterado";"dados";"dados_origem";"974020";"1-2032793";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"983612";"1-2139414";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"983616";"1-2136400";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados_e_derivados";"dados_origem";"984867";"1-2138422";"dte_inicio_obra_mcid_saci";"2026-06-19";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"984867";"1-2138422";"dias_aio_ate_inicio_obra_calc";"-3";"0"
"alterado";"dados_e_derivados";"dados_origem";"984878";"1-2136397";"dte_inicio_obra_mcid_saci";"";"2026-06-22"
"alterado";"dados_e_derivados";"derivado_regra";"984878";"1-2136397";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"984878";"1-2136397";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"984878";"1-2136397";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados";"dados_origem";"984890";"1-2138719";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"985351";"1-2138267";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"985477";"1-2135908";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"986342";"1-2137618";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"986696";"1-2139748";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"992126";"1-2164024";"dsc_situacao_contrato_mcid_saci";"Em Contratação";"Contratado - Suspensiva"
"alterado";"dados";"dados_origem";"992126";"1-2164024";"dte_assinatura_contrato_saci";"";"2026-06-23"
"alterado";"dados";"dados_origem";"992126";"1-2164024";"motivo_suspensiva_retirada_dmp";"Não se aplica";""
"alterado";"dados";"dados_origem";"999726";"1-2203355";"dsc_situacao_contrato_mcid_saci";"Em Contratação";"Contratado - Suspensiva"
"alterado";"dados";"dados_origem";"999726";"1-2203355";"dte_assinatura_contrato_saci";"";"2026-06-11"
"alterado";"dados";"dados_origem";"999726";"1-2203355";"motivo_suspensiva_retirada_dmp";"Não se aplica";""
